,ID,Type,Language_1,Lexeme_1,Meaning_1,Direction,Language_2,Lexeme_2,Meaning_2
5136,shift0276, Polysemy,Norwegian,verdifull,expensive,→,Norwegian,verdifull,important
5137,shift0276, Polysemy,Russian,cennyj,valuable,→,Russian,cennyj,valuable
5138,shift0276, Polysemy,Russian,cennyj,precious,→,Russian,cennyj,important
5139,shift0276, Polysemy,Swedish,värdefull,expensive,→,Swedish,värdefull,important
5140,shift0276, Polysemy,Tigrinya,kǝbur,"'dear, precious, expensive, costly'",←,Tigrinya,kǝbur,"'honorable, honored, respectable, reputable, eminent, dignified, impressive'"
5141,shift0276, Polysemy,Turkish,kıymetli,expensive,—,Turkish,kıymetli,important
5142,shift0276, Polysemy,Yakut,сыаналаах,"dear, expensive",→,Yakut,сыанналаах,"valuable, important, necessary"
5152,shift0277, Polysemy,Yakut,сытыары,downhill,→,Yakut,сытыары,meek
5154,shift0278, Polysemy,Akkadian,abnu,'stone',→,Akkadian,abnu,'glass'
5155,shift0278, Polysemy,Navajo,tsésǫʼ,mica (hydrous aluminosilicate mineral),→,Navajo,tsésǫʼ,glass (material)
5156,shift0278, Polysemy,Sanskrit,kācaka (काचक),stone (material),—,Sanskrit,kācaka (काचक),glass (material)
5157,shift0278, Polysemy,Walmajarri,jimpirla,quartz (used for making spearheads),→,Walmajarri,jimpirla,"glass (""from which more modern spearheads were sometimes made"")"
5158,shift0278, Polysemy,Yakut,таас,stone,→,Yakut,таас,glass
5164,shift0279, Polysemy,Komi,веськыд,straight,—,Komi,веськыд,sober
5166,shift0280, Polysemy,Yakut,тарт-,"to pull, to draw",→,Yakut,тарт-,to cramp
5168,shift0281, Polysemy,Yakut,тарт-,"to pull, to draw",→,Yakut,тарт-,to thresh
5170,shift0282, Polysemy,Yakut,тарт-,"to pull, to draw",→,Yakut,тарт-,to delay
5172,shift0283, Polysemy,Yakut,тик-,to sting,—,Yakut,тик-,to sew
5174,shift0284, Derivation,Russian,мести (mesti),to sweep,—,Russian,отмести (otmesti),to reject
5175,shift0284, Polysemy,Yakut,тип-,"to sweep, to drift",NA,Yakut,тип-,to refuse resolutely
5178,shift0285, Cognates,Yakut,тобурах,horn beech,—,Yakut,тобурах,dust (dial.)
5180,shift0286, Polysemy,Mongolian (Khalkha),бугдайх,"to bend over,  hunch over",→,Mongolian (Khalkha),бугдайх,to die (euphemistic)
5181,shift0286, Polysemy,Russian,загнуться (zagnut'sja),to ply,→,Russian,загнуться (zagnut'sja),to die
5182,shift0286, Internal cognates,Russian,гнуть,to bend,→,Russian,гибнуть,to die
5183,shift0286, Polysemy,Yakut,токуй-,"to bend, to crook",NA,Yakut,токуй-,to die
5188,shift0287, Polysemy,Yakut,тох-,"to scatter, to pour",→,Yakut,тох-,"to ruin, to scuttle"
5190,shift0288, Polysemy,Turkish,açıl-,to open,→,Turkish,açıl-,"to make big expenses, to spend much money"
5192,shift0289, Derivation,Dutch,koe,cow,→,Dutch,koereiger,cattle egret
5193,shift0289, Derivation,English,cattle,"domesticated animals of the species Bos taurus (cows, bulls, steers, oxen etc)",→,English, cattle egret,"small egret, Bubulcus ibis, of the heron family (Ardeidae)"
5194,shift0289, Derivation,Finnish,lehmä,cow,→,Finnish,lehmähaikara,cattle egret
5195,shift0289, Derivation,German,Kuh,cow,→,German,Kuhreiher,cattle egret
5196,shift0289, Derivation,Italian,bue,ox,→,Italian,guardabuoi,cattle egret
5197,shift0289, Derivation,Spanish,buey,ox,→,Spanish,garcilla bueyera,cattle egret
5198,shift0289, Derivation,Swedish,ko,cattle,→,Swedish,kohäger,cattle egret
5199,shift0289, Derivation,Welsh,gwartheg,cattle,→,Welsh,crëyr y gwartheg,cattle egret
5208,shift0290, Polysemy,Turkish,açıl-,to open,→,Turkish,açıl-,to amuse
5210,shift0291, Derivation,French,règle,"rule, regulation",→,French,règles,menstruation
5211,shift0291, Polysemy,Turkish,âdet,"custom, habit",→,Turkish,âdet,menstrual flux
5214,shift0292, Polysemy,Turkish,adut,shoulder (upper part of the arm up to the elbow),NA,Turkish,adut,support
5216,shift0293, Polysemy,Turkish,ağustos böceği,balm cricket,→,Turkish,ağustos böceği,"chatterbox, babbler"
5217,shift0293, Polysemy,Turkish,cırlak,cricket,—,Turkish,cırlak,"chatterbox, babbler, rattle box"
5220,shift0294, Polysemy,Soqotri,ḥérog,to flow,→,Soqotri,ḥérog,to crawl
5221,shift0294, Polysemy,Turkish,ak-,"to flow, to leak, to ooze",→,Turkish,ak-,"to creep, to slither (e.g. snake)"
5224,shift0295, Derivation,Japanese,nagareru,to flow; to drift,→,Japanese,nagareboshi,shooting star
5225,shift0295, Polysemy,Turkish,ak-,"to flow, to leak, to ooze",→,Turkish,ak-,to fall (stars)
5228,shift0296, Polysemy,Amharic,gənbar,"forehead, brow",→,Amharic,gənbar,"the front part of s.th., forward part of a ship"
5229,shift0296, Polysemy,Bulgarian,чело,forehead,→,Bulgarian,чело,front part
5230,shift0296, Polysemy,Croatian,čelo,forehead,→,Croatian,čelo,front part
5231,shift0296, Polysemy,French,front,forehead,→,French,front,"front, front part"
5232,shift0296, Polysemy,German,Stirn,forehead,→,German,Stirn,front part
5233,shift0296, Polysemy,Kurdish,e'ni,forehead,→,Kurdish,e'ni,front part
5234,shift0296, Polysemy,Kurdish,ne'tik,forehead,→,Kurdish,ne'tik,front part
5235,shift0296, Polysemy,Meadow Mari,саҥга,forehead,→,Meadow Mari,саҥга,front part
5236,shift0296, Polysemy,Modern Greek,μέτωπο(ν),forehead,→,Modern Greek,μέτωπο(ν),front part
5237,shift0296, Polysemy,Serbian,чело (čelo),forehead,→,Serbian,чело (čelo),front part
5238,shift0296, Polysemy,Tajiki,ҷабҳа,forehead,→,Tajiki,ҷабҳа,front part
5239,shift0296, Polysemy,Tatar,маңгай,forehead,→,Tatar,маңгай,"(architecture) fronton, pediment"
5240,shift0296, Polysemy,Tigak,no-,forehead,—,Tigak,no-,frontside
5241,shift0296, Polysemy,Turkish,alın,forehead,→,Turkish,alın,"front, front part"
5256,shift0297, Derivation,Hungarian,isten,god,→,Hungarian,isteni,very
5257,shift0297, Polysemy,Turkish,Allah,God,→,Turkish,Allah,"first component of comounds, intensifies the meaning of the second component"
5260,shift0298, Polysemy,Classical Arabic,ʔumm-,'mother',→,Classical Arabic,ʔumm-,"'foundation, basis, main part'"
5261,shift0298, Derivation,Kannada,tāy,mother,→,Kannada,tāyibēru,"deepest root, mother root"
5262,shift0298, Derivation,Tamil,tāy,mother,→,Tamil,tāykkalam,"main ship, carrier-rocket"
5263,shift0298, Polysemy,Tamil,tāy,mother,→,Tamil,"tāyvāykkāl, ","main, chief channel"
5264,shift0298, Derivation,Telugu,talli,mother,→,Telugu,tallikālava,the principal channel which supplies others
5265,shift0298, Polysemy,Turkish,ana,mother,—,Turkish,ana,"main, basic, principal"
5272,shift0299, Polysemy,Ancient Greek,ψῑλός,"naked, bald",→,Ancient Greek,ψῑλός,lacking in smth
5273,shift0299, Polysemy,Classical Arabic,ʕariya,to be naked,→,Classical Arabic,ʕariya,"to be/become exempt, free from something"
5274,shift0299, Polysemy,Latin,nudus,naked,→,Latin,nudus,naked
5275,shift0299, Polysemy,Turkish,ari,"naked, bare",—,Turkish,ari,"deprived of smth, free of smth"
5276,shift0299, Polysemy,Turkish,muarrâ,"naked, bare",→,Turkish,muarrâ,"deprived of, lacking"
5282,shift0300, Polysemy,German,Holzbirne,wild pear tree,→,German,Holzbirne,slow-witted person
5283,shift0300, Polysemy,Turkish,armut,pear (fruit),→,Turkish,armut,"idiot, dupe (argot)"
5286,shift0301, Polysemy,Turkish,at-,"to throw, to cast",→,Turkish,at-,"to come, to begin"
5288,shift0302, Polysemy,Turkish,at-,to throw,—,Turkish,at-,to lie
5290,shift0303, Polysemy,Turkish,ayak,"foot, leg",NA,Turkish,ayak,step
5292,shift0304, Polysemy,Ancient Hebrew,paʕam,foot,—,Ancient Hebrew,paʕam,"step, pace"
5293,shift0304, Polysemy,Japanese,asi (足),"foot, leg",→,Japanese,asi (足),speed
5294,shift0304, Polysemy,Telugu,aḍugu (అడుగు),foot/leg,→,Telugu,aḍugu (అడుగు),"step, pace"
5295,shift0304, Polysemy,Turkish,ayak,"foot, leg",NA,Turkish,ayak,step
5300,shift0305, Polysemy,French,pruneau,"prune, dried plum",→,French,pruneau,"projectile of a firearm, in particular a bullet from a rifle, from a revolver."
5301,shift0305, Polysemy,Russian,маслина (maslina),olive,→,Russian,маслина (maslina),(criminal argot) bullet
5302,shift0305, Cognates,Spanish,mora,"mulberry, blackberry",→,Spanish,mora,(Bolivia) bullet
5303,shift0305, Cognates,Spanish,pepo,"(Venezuela, Colombia) soapberry, soapnut (Sapindus)",→,Spanish,pepo,(Ecuador) bullet
5304,shift0305, Polysemy,Spanish,alméndola,almond (nut),→,Spanish,alméndola,(colloquial) bullet (usually pl. alméndolas)
5305,shift0305, Polysemy,Turkish,badem,almond,→,Turkish,badem,bullet (argot)
5312,shift0306, Polysemy,Turkish,bağlan-,to be tied,→,Turkish,bağlan-,to depend
5314,shift0307, Polysemy,Turkish,bak-,"to look, to watch",→,Turkish,bak-,to depend
5316,shift0308, Polysemy,Russian,наступать (nastupat'),"to step, to tread",→,Russian,наступать (nastupat'),to attack
5317,shift0308, Derivation,Serbian,ступати (stupati),to step on,→,Serbian,наступати (nastupati),to attack
5318,shift0308, Polysemy,Turkish,bas-,"to step on, to stand on",→,Turkish,bas-,"to attack (unexpectedly, by surprise)"
5322,shift0309, Polysemy,Turkish,bit-,"to terminate, to run out",→,Turkish,bit-,to be mad about smn
